date,x,y,blue,green,red,nir,target
2024-01-01,23,1,377,9884,7903,3370,0.0
2024-01-01,24,1,6638,340,4632,8715,0.0
2024-01-01,25,1,3483,5642,2305,7789,0.0
2024-01-01,26,1,8289,8271,2972,2296,0.0
2024-01-01,27,1,962,9165,1658,30,0.0
2024-01-01,28,1,8074,9451,3403,5597,0.0
2024-01-01,29,1,1648,6548,1289,5446,0.0
2024-01-01,30,1,3212,5755,8950,4513,0.0
2024-01-01,31,1,6041,4965,8544,8466,0.0
2024-01-01,32,1,68,11,4562,8978,0.0
2024-01-01,33,1,3429,4278,9105,7238,0.0
2024-01-01,34,1,7692,9641,1803,2355,0.0
2024-01-01,35,1,4772,5313,3928,3283,0.0
2024-01-01,36,1,5914,5970,1064,2736,0.0
2024-01-01,37,1,3997,3920,9633,3579,0.0
2024-01-01,38,1,4610,1528,3132,1246,0.0
2024-01-01,39,1,9305,6802,135,1549,0.0
2024-01-01,40,1,4912,6483,409,7456,0.0
2024-01-01,41,1,1589,1427,1084,5029,0.0
2024-01-01,42,1,9542,8035,4141,4352,0.0
2024-01-01,43,1,5676,4928,7193,1473,0.0
2024-01-01,44,1,4365,6458,6678,3077,0.0
2024-01-01,45,1,3036,927,9776,7365,0.0
2024-01-01,46,1,4602,5269,7967,2904,0.0
2024-01-01,47,1,7137,923,7885,3876,0.0
2024-01-01,48,1,7227,265,4525,1539,0.0
2024-01-01,49,1,7693,6042,1365,6297,0.0
2024-01-01,50,1,6897,7929,1465,9659,0.0
2024-01-01,51,1,5644,3974,4566,9363,0.0
2024-01-01,52,1,2727,2615,1514,8020,0.0
2024-01-01,53,1,4930,5607,5803,5224,0.0
2024-01-01,54,1,3426,5382,7973,8497,0.0
2024-01-01,55,1,8523,3960,5201,8753,0.0
2024-01-01,56,1,4853,8045,7019,2577,0.0
2024-01-01,57,1,8043,7741,3940,1054,0.0
2024-01-01,58,1,6224,6137,2197,9657,0.0
2024-01-01,59,1,3296,3886,457,8581,0.0
2024-01-01,60,1,2526,9629,8605,3781,0.0
2024-01-01,61,1,4045,7722,8689,5409,0.0
2024-01-01,62,1,721,2174,6029,9766,0.0
2024-01-01,63,1,5714,18,8237,1365,0.0
2024-01-01,64,1,1674,6878,3468,6340,0.0
2024-01-01,65,1,7715,4714,4903,3350,0.0
2024-01-01,66,1,1749,9374,867,9434,0.0
2024-01-01,67,1,1323,8703,1587,3186,0.0
2024-01-01,68,1,4571,1596,9335,4779,0.0
2024-01-01,69,1,7803,5675,3703,6867,0.0
2024-01-01,70,1,9068,2508,2756,1406,0.0
2024-01-01,71,1,9073,1697,7107,5676,0.0
2024-01-01,72,1,2040,8673,1520,1862,0.0
2024-01-01,73,1,6069,3626,6550,1121,0.0
2024-01-01,74,1,2258,5279,5177,2380,0.0
2024-01-01,75,1,5200,8373,7660,2664,0.0
2024-01-01,76,1,689,3664,4561,9196,0.0
2024-01-01,77,1,1275,7938,3485,1411,0.0
2024-01-01,78,1,1595,423,7963,3777,0.0
2024-01-01,79,1,4290,436,4521,1792,0.0
2024-01-01,80,1,1073,2385,4050,7977,0.0
2024-01-01,81,1,7848,3045,5267,1778,0.0
2024-01-01,82,1,5214,4168,3299,3157,0.0
2024-01-01,83,1,4641,8735,3820,8640,0.0
2024-01-01,84,1,1447,6340,8048,8085,0.0
2024-01-01,85,1,9557,3731,2827,2642,0.0
2024-01-01,86,1,65,104,2507,963,0.0
2024-01-01,87,1,2122,7288,341,4261,0.0
2024-01-01,88,1,1348,9139,118,3624,0.0
2024-01-01,89,1,8190,3314,6293,3673,0.0
2024-01-01,90,1,8251,5113,9769,902,0.0
2024-01-01,91,1,4099,9079,8645,841,0.0
2024-01-01,92,1,3031,9252,452,1637,0.0
2024-01-01,93,1,9129,467,9809,3495,0.0
2024-01-01,94,1,3909,6781,3694,8193,0.0
2024-01-01,95,1,2998,6195,7681,9290,0.0
2024-01-01,96,1,1909,2019,1445,5799,0.0
2024-01-01,97,1,2008,5874,9505,9928,0.0
2024-01-01,98,1,7451,2976,4448,3305,0.0
2024-01-01,99,1,234,6979,8417,3898,0.0
2024-01-01,0,2,5750,7262,4509,9962,0.0
2024-01-01,1,2,8665,989,4236,1980,0.0
2024-01-01,2,2,1627,2650,436,5514,0.0
2024-01-01,3,2,1549,1115,9223,9562,0.0
2024-01-01,4,2,7447,1712,522,5489,0.0
2024-01-01,5,2,6005,4708,229,790,0.0
2024-01-01,6,2,7912,4737,8417,8084,0.0
2024-01-01,7,2,1154,4859,4331,287,0.0
2024-01-01,8,2,3622,5096,1227,8097,0.0
2024-01-01,9,2,5044,3682,2606,9716,0.0
2024-01-01,10,2,1643,6177,1485,1819,0.0
2024-01-01,11,2,8112,8174,3451,4937,0.0
2024-01-01,12,2,2756,3509,2096,8108,0.0
2024-01-01,13,2,9551,2444,69,6283,0.0
2024-01-01,14,2,448,2718,9160,9033,0.0
2024-01-01,15,2,649,2193,1685,6117,0.0
2024-01-01,16,2,1023,3024,1205,2226,0.0
2024-01-01,17,2,5419,4858,3633,9222,0.0
2024-01-01,18,2,8771,5263,7283,2849,0.0
2024-01-01,19,2,4817,6654,5265,981,0.0
2024-01-01,20,2,7306,7122,1427,6436,0.0
2024-01-01,21,2,1790,2047,5998,8810,0.0
2024-01-01,22,2,7127,3615,1311,6609,0.0
2024-01-01,23,2,2262,883,301,8424,0.0
2024-01-01,24,2,7145,3911,7023,1494,0.0
2024-01-01,25,2,1917,6314,6541,461,0.0
2024-01-01,26,2,5170,9611,5046,841,0.0
2024-01-01,27,2,9990,8163,6601,5934,0.0
2024-01-01,28,2,857,4184,4142,9915,0.0
2024-01-01,29,2,4141,8056,5886,9046,0.0
2024-01-01,30,2,7067,1653,5124,4644,0.0
2024-01-01,31,2,304,4502,8202,4486,0.0
2024-01-01,32,2,6758,9904,7815,2801,0.0
2024-01-01,33,2,262,3960,780,1894,0.0
2024-01-01,34,2,806,4336,2498,1000,0.0
2024-01-01,35,2,6975,6913,74,7373,0.0
2024-01-01,36,2,991,9523,6364,7446,0.0
2024-01-01,37,2,7154,4386,8541,5997,0.0
2024-01-01,38,2,8402,3497,4542,148,0.0
2024-01-01,39,2,7175,8865,2233,5402,0.0
2024-01-01,40,2,9,5663,996,4913,0.0
2024-01-01,41,2,6256,6254,381,4047,0.0
2024-01-01,42,2,4072,5343,9017,6704,0.0
2024-01-01,43,2,9380,9793,2978,661,0.0
2024-01-01,44,2,577,1324,8397,4630,0.0
2024-01-01,45,2,2655,5631,1751,3036,0.0
2024-01-01,46,2,1387,1420,4166,1527,0.0
2024-01-01,47,2,338,5187,5789,2764,0.0
2024-01-01,48,2,2052,173,7101,8238,0.0
2024-01-01,49,2,2837,1093,1862,7306,0.0
2024-01-01,50,2,5068,4294,1736,2311,0.0
2024-01-01,51,2,1324,2155,2583,3654,0.0
2024-01-01,52,2,5389,2373,329,2679,0.0
2024-01-01,53,2,3540,5181,7485,6113,0.0
2024-01-01,54,2,5580,9147,9869,2514,0.0
2024-01-01,55,2,1398,2746,32,9303,0.0
2024-01-01,56,2,510,9391,7172,6803,0.0
2024-01-01,57,2,2567,8719,8421,8504,0.0
2024-01-01,58,2,971,1586,4988,7103,0.0
2024-01-01,59,2,5656,4918,1382,845,0.0
2024-01-01,60,2,7566,6152,5536,6579,0.0
2024-01-01,61,2,6394,7548,1813,4632,0.0
2024-01-01,62,2,4040,2508,8702,5625,0.0
2024-01-01,63,2,167,5398,2135,4969,0.0
2024-01-01,64,2,3505,146,1095,5482,0.0
2024-01-01,65,2,9780,875,7992,4427,0.0
2024-01-01,66,2,13,1011,2577,301,0.0
2024-01-01,67,2,3549,1479,6387,7562,0.0
2024-01-01,68,2,6741,4243,8371,3195,0.0
2024-01-01,69,2,6381,3818,8169,6268,0.0
2024-01-01,70,2,9142,348,1882,4452,0.0
2024-01-01,71,2,281,4326,9300,6689,0.0
2024-01-01,72,2,4994,4141,9356,9013,0.0
2024-01-01,73,2,2068,8920,8668,9865,0.0
2024-01-01,74,2,5250,6938,6422,5356,0.0
2024-01-01,75,2,2212,3644,13,6310,0.0
2024-01-01,76,2,718,2933,2972,3778,0.0
2024-01-01,77,2,7039,9503,472,4698,0.0
2024-01-01,78,2,9997,427,1054,6101,0.0
2024-01-01,79,2,4787,1110,5181,9933,0.0
2024-01-01,80,2,3146,5505,930,8847,0.0
2024-01-01,81,2,4440,4447,4987,1182,0.0
2024-01-01,82,2,3505,3051,8766,9873,0.0
2024-01-01,83,2,3008,437,9554,2256,0.0
2024-01-01,84,2,2487,2297,2705,4378,0.0
2024-01-01,85,2,261,218,8480,972,0.0
2024-01-01,86,2,3913,6665,9777,2492,0.0
2024-01-01,87,2,4645,1723,4057,5293,0.0
2024-01-01,88,2,1544,2053,1851,964,0.0
2024-01-01,89,2,6844,2666,1693,7906,0.0
2024-01-01,90,2,583,9778,1854,8021,0.0
2024-01-01,91,2,7044,1838,4374,3433,0.0
2024-01-01,92,2,8640,2715,8348,9445,0.0
2024-01-01,93,2,1720,6150,9734,7896,0.0
2024-01-01,94,2,2548,4164,5164,7225,0.0
2024-01-01,95,2,4494,4133,6101,1447,0.0
2024-01-01,96,2,1115,1637,4337,1499,0.0
2024-01-01,97,2,5841,2421,8061,4844,0.0
2024-01-01,98,2,4954,5922,6824,2498,0.0
2024-01-01,99,2,262,961,4815,4923,0.0
2024-01-01,0,3,7791,9817,1505,4314,0.0
2024-01-01,1,3,728,7124,3507,8603,0.0
2024-01-01,2,3,40,6751,7294,1472,0.0
2024-01-01,3,3,62,5324,9264,5128,0.0
2024-01-01,4,3,5525,8079,9463,8456,0.0
2024-01-01,5,3,1427,673,9791,1337,0.0
2024-01-01,6,3,2076,278,8208,6614,0.0
2024-01-01,7,3,2116,9344,8148,2583,0.0
2024-01-01,8,3,8309,3262,2632,4068,0.0
2024-01-01,9,3,9869,7899,8145,5770,0.0
2024-01-01,10,3,8177,3330,7385,4303,0.0
2024-01-01,11,3,3532,1033,4846,8866,0.0
2024-01-01,12,3,2219,2165,7912,8629,0.0
2024-01-01,13,3,746,7521,3501,762,0.0
2024-01-01,14,3,8826,5592,1077,3746,0.0
2024-01-01,15,3,1890,9253,2520,1665,0.0
2024-01-01,16,3,2129,3236,1933,7319,0.0
2024-01-01,17,3,7406,2972,4368,7907,0.0
2024-01-01,18,3,1867,4364,6623,1430,0.0
2024-01-01,19,3,5364,141,2513,6674,0.0
2024-01-01,20,3,6989,6393,2766,3741,0.0
2024-01-01,21,3,91,7660,8774,2442,0.0
2024-01-01,22,3,4457,1707,1200,2409,0.0
2024-01-01,23,3,814,8390,4096,3821,0.0
2024-01-01,24,3,5687,9499,7926,3596,0.0
2024-01-01,25,3,9003,7694,1313,6763,0.0
2024-01-01,26,3,3175,4574,9237,2559,0.0
2024-01-01,27,3,8531,8962,1290,5071,0.0
2024-01-01,28,3,9417,5438,645,4279,0.0
2024-01-01,29,3,1993,1523,9628,9438,0.0
2024-01-01,30,3,664,2307,8862,752,0.0
2024-01-01,31,3,1713,9211,5862,521,0.0
2024-01-01,32,3,6459,2765,115,2545,0.0
2024-01-01,33,3,7494,6307,4870,2711,0.0
2024-01-01,34,3,6059,8394,3215,7267,0.0
2024-01-01,35,3,9213,6074,4768,8254,0.0
2024-01-01,36,3,2919,1811,4877,7562,0.0
2024-01-01,37,3,453,383,5245,8206,0.0
2024-01-01,38,3,7418,3986,7884,328,0.0
2024-01-01,39,3,7473,8967,9169,2683,0.0
2024-01-01,40,3,1482,2984,4564,974,0.0
2024-01-01,41,3,3405,2629,9824,4115,0.0
2024-01-01,42,3,6636,2892,499,5878,0.0
2024-01-01,43,3,8496,7247,9521,622,0.0
2024-01-01,44,3,9483,104,9697,1806,0.0
2024-01-01,45,3,7591,1213,711,9912,0.0
2024-01-01,46,3,8690,5343,7084,2328,0.0
2024-01-01,47,3,1588,3901,8974,4157,0.0
2024-01-01,48,3,2058,9027,4099,1472,0.0
2024-01-01,49,3,9729,614,2680,7803,0.0
2024-01-01,50,3,1984,237,2249,3056,0.0
2024-01-01,51,3,5056,9128,4830,8379,0.0
2024-01-01,52,3,3365,2165,9655,3429,0.0
2024-01-01,53,3,2978,1966,6293,6451,0.0
2024-01-01,54,3,1902,7404,5295,9580,0.0
2024-01-01,55,3,5608,6957,8884,3825,0.0
2024-01-01,56,3,2649,7572,7862,3085,0.0
2024-01-01,57,3,2246,6897,7549,6803,0.0
2024-01-01,58,3,6893,795,5389,1146,0.0
2024-01-01,59,3,8057,1695,1792,4622,0.0
2024-01-01,60,3,1598,7145,6729,1883,0.0
2024-01-01,61,3,4837,3615,4192,1314,0.0
2024-01-01,62,3,2251,2611,2282,8000,0.0
2024-01-01,63,3,7586,8260,4332,2792,0.0
2024-01-01,64,3,8367,9462,6163,5958,0.0
2024-01-01,65,3,7709,8016,1215,8443,0.0
2024-01-01,66,3,3896,5732,9491,5691,0.0
2024-01-01,67,3,9781,389,6006,7427,0.0
2024-01-01,68,3,5050,922,3275,9933,0.0
2024-01-01,69,3,6942,9221,468,7925,0.0
2024-01-01,70,3,3753,3956,5315,555,0.0
2024-01-01,71,3,6650,3753,3726,3585,0.0
2024-01-01,72,3,3132,7965,5954,3924,0.0
2024-01-01,73,3,3318,8828,1421,4821,0.0
2024-01-01,74,3,873,9003,9518,6290,0.0
2024-01-01,75,3,4644,2536,1729,1642,0.0
2024-01-01,76,3,7153,7000,7039,9631,0.0
2024-01-01,77,3,4681,8414,4948,8296,0.0
2024-01-01,78,3,9055,4804,7016,2406,0.0
2024-01-01,79,3,2236,901,3984,6881,0.0
2024-01-01,80,3,7581,2433,9554,6975,0.0
2024-01-01,81,3,7701,4991,4583,5781,0.0
2024-01-01,82,3,6163,1245,369,996,0.0
2024-01-01,83,3,771,6518,9168,9503,0.0
2024-01-01,84,3,4732,5584,1937,9393,0.0
2024-01-01,85,3,6348,4670,1177,9411,0.0
2024-01-01,86,3,3619,3299,7713,290,0.0
2024-01-01,87,3,1360,5384,7527,5322,0.0
2024-01-01,88,3,7095,7046,698,9180,0.0
2024-01-01,89,3,3576,474,9722,6758,0.0
2024-01-01,90,3,3492,1547,9282,4497,0.0
2024-01-01,91,3,7587,9054,9834,9877,0.0
2024-01-01,92,3,6842,8549,8766,5431,0.0
2024-01-01,93,3,4130,2936,9854,5241,0.0
2024-01-01,94,3,5147,8988,6476,5543,0.0
2024-01-01,95,3,9655,1051,2343,1478,0.0
2024-01-01,96,3,3433,9613,7716,7140,0.0
2024-01-01,97,3,6880,3346,8992,9167,0.0
2024-01-01,98,3,5877,3286,7662,9011,0.0
2024-01-01,99,3,2831,7959,148,7961,0.0
2024-01-01,0,4,7137,8121,964,5958,0.0
2024-01-01,1,4,9259,9494,8721,7453,0.0
2024-01-01,2,4,3627,6346,3932,8095,0.0
2024-01-01,3,4,963,9163,9720,7057,0.0
2024-01-01,4,4,289,765,5224,7704,0.0
2024-01-01,5,4,6526,1145,6311,4232,0.0
2024-01-01,6,4,724,2226,110,6348,0.0
2024-01-01,7,4,2659,6269,9378,1714,0.0
2024-01-01,8,4,4766,4533,7712,6730,0.0
2024-01-01,9,4,5561,5339,8596,6415,0.0
2024-01-01,10,4,5173,333,5235,2229,0.0
2024-01-01,11,4,2579,9069,6264,3823,0.0
2024-01-01,12,4,9664,5151,1923,7820,0.0
2024-01-01,13,4,7084,7539,9765,2377,0.0
2024-01-01,14,4,8732,6745,3579,7603,0.0
2024-01-01,15,4,185,2172,1370,8927,0.0
2024-01-01,16,4,1217,4837,2748,9960,0.0
2024-01-01,17,4,5031,909,145,3767,0.0
2024-01-01,18,4,227,4707,3912,6455,0.0
2024-01-01,19,4,8204,859,1255,7325,0.0
2024-01-01,20,4,2580,7189,9013,8397,0.0
2024-01-01,21,4,7842,2955,6007,1968,0.0
2024-01-01,22,4,8495,298,6542,2275,0.0
2024-01-01,23,4,1083,5718,2085,9914,0.0
2024-01-01,24,4,6132,998,1549,520,0.0
2024-01-01,25,4,5968,5228,7128,3254,0.0
2024-01-01,26,4,5611,8263,1924,6927,0.0
2024-01-01,27,4,5640,9968,4549,2593,0.0
2024-01-01,28,4,3904,52,3517,3121,0.0
2024-01-01,29,4,9510,4464,9576,1798,0.0
2024-01-01,30,4,6036,7202,8451,254,0.0
2024-01-01,31,4,2749,7648,4390,1619,0.0
2024-01-01,32,4,428,2033,2318,4080,0.0
2024-01-01,33,4,9502,4573,3481,9355,0.0
2024-01-01,34,4,1582,4116,5166,4439,0.0
2024-01-01,35,4,6833,5003,1100,7362,0.0
2024-01-01,36,4,4324,7868,4699,5508,0.0
2024-01-01,37,4,8647,9342,4878,319,0.0
2024-01-01,38,4,9305,3511,8469,9166,0.0
2024-01-01,39,4,4748,4986,8855,7190,0.0
2024-01-01,40,4,4675,259,6585,4794,0.0
2024-01-01,41,4,2924,4432,1387,8601,0.0
2024-01-01,42,4,9697,470,1530,4258,0.0
2024-01-01,43,4,1221,1836,9663,9083,0.0
2024-01-01,44,4,4211,3026,6606,8919,0.0
2024-01-01,45,4,2864,5448,6187,9107,0.0
2024-01-01,46,4,4212,8089,8080,4202,0.0
2024-01-01,47,4,6249,3895,3817,8196,0.0
2024-01-01,48,4,5701,2972,6634,6174,0.0
2024-01-01,49,4,1400,6595,2881,9691,0.0
2024-01-01,50,4,6515,4489,1093,1226,0.0
2024-01-01,51,4,4837,9001,3109,111,0.0
2024-01-01,52,4,195,9450,4792,3402,0.0
2024-01-01,53,4,1598,1158,7501,6197,0.0
2024-01-01,54,4,5295,478,6816,35,0.0
2024-01-01,55,4,6327,9403,5066,1191,0.0
2024-01-01,56,4,2373,6607,3856,1504,0.0
2024-01-01,57,4,2324,6638,1656,995,0.0
2024-01-01,58,4,9777,97,6363,593,0.0
2024-01-01,59,4,7849,98,4656,5078,0.0
2024-01-01,60,4,1489,4514,5696,3386,0.0
2024-01-01,61,4,7018,3870,7305,4968,0.0
2024-01-01,62,4,6301,4252,3349,892,0.0
2024-01-01,63,4,5823,452,3928,6495,0.0
2024-01-01,64,4,1950,7377,8026,5947,0.0
2024-01-01,65,4,3174,5460,3979,2876,0.0
2024-01-01,66,4,6317,9573,1700,3758,0.0
2024-01-01,67,4,8062,2190,6114,8382,0.0
2024-01-01,68,4,663,139,523,4044,0.0
2024-01-01,69,4,2917,3597,3304,3439,0.0
2024-01-01,70,4,6481,6656,8263,1273,0.0
2024-01-01,71,4,9854,677,6815,9182,0.0
2024-01-01,72,4,246,3874,9049,562,0.0
2024-01-01,73,4,992,7073,9634,7719,0.0
2024-01-01,74,4,1320,152,391,3831,0.0
2024-01-01,75,4,8897,5308,7989,535,0.0
2024-01-01,76,4,2021,6149,2492,3229,0.0
2024-01-01,77,4,2715,1629,3876,2552,0.0
2024-01-01,78,4,6470,4829,9794,8872,0.0
2024-01-01,79,4,2495,3360,9921,7720,0.0
2024-01-01,80,4,8717,4661,8762,122,0.0
2024-01-01,81,4,607,6828,6876,7386,0.0
2024-01-01,82,4,5169,8293,3683,7938,0.0
2024-01-01,83,4,705,1992,8606,2152,0.0
2024-01-01,84,4,2199,61,7039,2081,0.0
2024-01-01,85,4,6585,1934,2059,2610,0.0
2024-01-01,86,4,8491,2310,9837,3443,0.0
2024-01-01,87,4,6717,4301,3644,3968,0.0
2024-01-01,88,4,7605,6465,7924,1718,0.0
2024-01-01,89,4,3887,286,4663,7609,0.0
2024-01-01,90,4,9601,7611,6486,4600,0.0
2024-01-01,91,4,8615,9227,448,7078,0.0
2024-01-01,92,4,3677,3914,9072,2958,0.0
2024-01-01,93,4,7837,2013,3802,4606,0.0
2024-01-01,94,4,868,8457,3489,3533,0.0
2024-01-01,95,4,7759,7053,2554,2825,0.0
2024-01-01,96,4,8131,4490,1098,3214,0.0
2024-01-01,97,4,1067,313,4981,7329,0.0
2024-01-01,98,4,8590,2075,3277,208,0.0
2024-01-01,99,4,6488,4332,8982,6490,0.0
2024-01-01,0,5,1931,324,2901,6047,0.0
2024-01-01,1,5,9224,486,7657,7794,0.0
2024-01-01,2,5,1738,6276,4187,587,0.0
2024-01-01,3,5,6946,3535,5956,4826,0.0
2024-01-01,4,5,9387,3952,6611,1966,0.0
2024-01-01,5,5,5710,4656,6228,2147,0.0
2024-01-01,6,5,67,3359,8892,6312,0.0
2024-01-01,7,5,3341,5196,5873,2038,0.0
2024-01-01,8,5,9651,6655,6030,6137,0.0
2024-01-01,9,5,7312,3677,8670,5184,0.0
2024-01-01,10,5,5186,5176,8296,5437,0.0
2024-01-01,11,5,4361,5920,159,2749,0.0
2024-01-01,12,5,3248,2842,9586,814,0.0
2024-01-01,13,5,9858,6109,3587,4308,0.0
2024-01-01,14,5,832,3693,8215,6122,0.0
2024-01-01,15,5,1435,5848,3719,3960,0.0
2024-01-01,16,5,553,3276,6625,8561,0.0
2024-01-01,17,5,3659,7995,4668,8527,0.0
2024-01-01,18,5,6408,2413,6607,1063,0.0
2024-01-01,19,5,2261,1821,4713,9756,0.0
2024-01-01,20,5,91,5799,7793,5902,0.0
2024-01-01,21,5,1335,4123,2881,5634,0.0
2024-01-01,22,5,9302,3030,5293,9565,0.0
2024-01-01,23,5,5882,3840,4848,7282,0.0
2024-01-01,24,5,9661,4428,7077,1226,0.0
